date,Name,open,high,low,close,volume,return,log_return,close_to_SMA,RSI_14,MACD,MACD_hist,BB_width,volatility_20,price_momentum_20,volume_ratio,OBV_change,close_position,return_lag_1,daily_return,price_range
2013-03-11,AAL,14.85,15.15,14.71,15.13,6961800,0.8432900075315114,0.8406246307167166,1.944808100561855,0.4802973963049604,-0.1166325259833717,0.3123471154675784,1.2650034676291575,1.7475861506349193,0.2108883938104769,-0.717736360833973,-0.0007699675429405,1.3498016691444985,0.3867487045744016,1.3982288932485476,0.8323362479742507
2013-03-12,AAL,15.14,15.6,14.95,15.5,8999100,1.4895071872506038,1.4711560595578708,2.5300011709015084,1.766270823132469,-0.0729713948272671,0.3612299445873558,1.5866655746812388,1.7437558784890796,0.8888170682037316,-0.3304980893431186,-0.0007205662219153,1.328251802625904,0.843059043193349,1.7701591861182675,1.9036153546132024
2013-03-13,AAL,15.54,16.2,15.48,15.91,11380000,1.613829464975207,1.5917276021371247,3.12257660222321,1.8670192506050869,-0.0236572588608423,0.4148869449506393,2.0465406145495053,1.7622070932444551,1.5203955947915702,0.0901833687997529,-0.0006869777940025,1.1674465676619374,1.4894448035241552,1.7725354767756467,2.1802297507369697
2013-03-14,AAL,15.98,16.36,15.93,16.25,8383300,1.2974711316507903,1.2844509566499596,3.5845935252727217,1.8999969641021297,0.0268003856917059,0.4607559166568873,2.5439614436443647,1.7337656295684063,1.4254025683063187,-0.4580631150618432,-0.0009016193764482,1.3429716568052708,1.6137995135738128,1.2502154887778731,0.6140034508509068
2013-03-15,AAL,16.45,16.54,15.88,15.98,17667700,-1.0674372814896165,-1.062189693619742,2.8825991895136798,2.302828728390373,0.0538455743228018,0.4371878355164884,2.8364729598370197,1.4430117340308894,1.9216033606157572,1.536826787336653,-0.0018828727823047,0.9581022779825236,1.2973586509031854,-2.18493898401088,1.850789181269932
2013-03-18,AAL,15.8,16.33,15.71,16.29,6514100,1.1747631324526338,1.1648538664984212,3.2650484875819688,2.311742234010665,0.0848056007453616,0.4284100956869708,3.193572950697644,1.339714108964022,1.6455522666891589,-0.6606579339019132,-0.0009359120894489,1.226460683348974,-1.0681667029801272,2.3167451408308586,1.580642501254775
2013-03-19,AAL,16.48,16.85,16.41,16.78,11805300,1.8397134949656997,1.810197788248321,3.892103153978312,2.3504966062728028,0.1254832709542925,0.4464009516439768,3.649152988373982,1.3326686151127656,2.427902067553469,0.4572459084231819,-0.0007420558777739,1.3868082202360246,1.1746186405016494,1.3490193440568752,0.5940144816246856
2013-03-20,AAL,17.13,17.33,16.87,17.23,10819800,1.6366175966598795,1.6138027880756396,4.2927946246182005,2.3908136548358323,0.1717546312169234,0.4751916983145836,4.0037657537419,0.4028074659962291,4.129413006890865,0.2963425328193994,-0.0008539762602561,1.3710821747103283,1.8397424706079484,0.4147329830652574,0.6336787248724757
2013-03-21,AAL,17.21,17.43,16.87,17.0,10740800,-0.8640667699624998,-0.8568580854515148,3.515855659236534,2.086253778746642,0.1954243525823185,0.4400480662081015,4.138207861968982,0.5181760686571751,3.819970675685475,0.2940356392556326,-0.0015811919226867,1.1406804306072051,1.6365935900666702,-0.9482151495587678,1.154022049045594
2013-03-22,AAL,17.1,17.29,16.77,16.86,8545200,-0.5457092930399968,-0.5367917646868624,2.9468445218566344,1.867935612455261,0.2046181387876716,0.3746723526186221,4.179506878992931,0.591421758688158,3.393226654954788,-0.2084041973103281,-0.0015494061175109,1.042290279393262,-0.8647431375783786,-1.0866924829313789,0.9790940579009332
2013-03-25,AAL,16.92,17.0,16.35,16.6,8400000,-0.9930844030534924,-0.987040841862256,2.156621722186612,1.5382138727094936,0.1976967518632945,0.2808916035276182,3.9051879600042,0.1842573936958911,3.87076016823328,-0.2511642887220794,-0.0015816513177279,0.8595657128530839,-0.5463026097870848,-1.4551919203197532,1.6720229945609797
2013-03-26,AAL,16.67,16.84,16.5,16.51,6898500,-0.3705396198512218,-0.3613849302923707,1.7033819690446406,1.2691804159229816,0.1848426059109501,0.1905961846469914,3.603930016295642,0.2395470470584086,3.4321675400764624,-0.5518093829838426,-0.0015597901310541,0.7232912193818066,-0.9937944278858472,-0.7514686579736867,0.1249627223489888
2013-03-27,AAL,16.48,16.77,16.33,16.65,5537100,0.4949340144771216,0.4980417545727197,1.6474326778582389,1.226212940620815,0.1764354135843351,0.1298062316225215,3.2881602905166285,0.2410012557162874,3.3809511218324744,-0.8343322083559044,-0.0009553741030261,0.8120121830432147,-0.3710872395608638,0.7530404562618935,0.6110771836806684
